feature,VIF
occ_Retired,inf
occ_Other,inf
occ_Employed,inf
occ_Unemployed,inf
productivity_score,2.836
age,1.913
mental_health_status,1.897
sleep_quality,1.796
online_support_usage,1.583
support_systems_access,1.583
stress_level,1.359
screen_time_hours,1.332
mood_level,1.322
work_screen_hours,1.228
sleep_hours,1.218
gender,1.155
exercise_minutes_per_week,1.048
daily_exercise_mins,1.046
social_hours_per_week,1.013
tech_usage_hours,1.003
physical_activity_hours,1.002
social_media_hours,1.001
gaming_hours,1.001
